PlayerId,NameFirst,NameLast,CurrentHandle,CountryCode,TotalUSDPrize
9514,Marcus,Hoelgaard,Ace,dk,2087817.11
3885,Nicolai,Reedtz,dev1ce,dk,2080664.98
3256,Kurtis,Ling,Aui_2000,ca,2073582.54
2452,Finn,Andersen,karrigan,dk,2064202.62
3946,Roman,Fominok,Resolut1on,ua,2063162.95
39770,Leon,Kirilin,Nine,de,2058860.94
33561,Shenyi,Yang,Chalice,cn,2040114.72
3773,Aleksey,Berezin,Solo,ru,2038081.34
14238,Peng,Li,iceice,cn,2005164.63
3679,Andreas,Højsleth,Xyp9x,dk,2003061.83
26512,Zeyu,Chu,Shadow,cn,1982030.82
42140,Jin Xiang,Cheng,NothingToSay,my,1974694.93
13323,Vladimir,Minenko,Noone,ua,1960799.78
10711,Yang,Zhou,bLink,cn,1960761.59
25047,Harrison,Chang,psalm,us,1959500.00
17800,Emil,Reif,Magisk,dk,1949223.63
30573,Quinn,Callahan,Quinn,us,1947970.27
70610,Siyuan,Luo,HuaHai,cn,1941993.39
3672,Lukas,Rossander,gla1ve,dk,1930423.73
27134,Yeik Nai,Zheng,MidOne,my,1896531.44
53093,Tyler,Pharris,aBeZy,us,1882655.68
2596,Ning,Zhang,xiao8,cn,1877518.06
60433,Bicheng,Xu,Yinuo,cn,1871202.59
15530,Damien,Chok,kpii,au,1865667.57
61948,Shane,Cotton,EpikWhale,us,1838487.32
91174,Denis,Sigitov,Larl,ru,1831224.07
32897,Christopher,Lehr,Simp,us,1830078.33
5483,Håvard,Nygaard,rain,no,1824816.24
3832,Sang Hyeok,Lee,Faker,kr,1816084.56
1949,Daryl Koh,Pei Xiang,iceiceice,sg,1812855.42
3888,Dan,Madesclaire,apEX,fr,1772015.64
60417,Yunfei,Peng,Fly,cn,1767497.60
3168,Hongda,Zeng,Faith,cn,1764633.21
3161,Junhao,Xie,Super,cn,1764310.33
20415,Russel,Van Dulken,Twistzz,ca,1763893.10
3146,Zhihao,Chen,Hao,cn,1761674.53
13322,Pavel,Khvastunov,9pasha,ru,1733385.13
8169,Oleksandr,Kostyljev,s1mple,ua,1722255.32
60467,Zhengzheng,Chen,Cat,cn,1716947.58
31594,Robin,Kool,ropz,ee,1686577.41
95069,Daheng,Li,Pang,cn,1682659.41
36617,McArthur,Jovel,Cellium,us,1674298.93
5513,Joona,Sotala,Serral,fi,1666325.57
90011,Letian,Zhong,1dao,cn,1656199.27
5783,Nikola,Kovač,NiKo,ba,1651760.15
16267,Denis,Sharipov,electroNic,ru,1650967.01
97600,Youqi,Cai,Yu,cn,1626161.52
83369,Anas,El-Abd,Anas,dk,1622990.05
21950,Yangwei,Ren,old eLeVeN,cn,1570503.07
54656,Emil,Bergquist Pedersen,Nyhrox,no,1543145.69
30452,Peng,Du,Monet,cn,1535720.98
90008,Yaoqin,Huang,QingRong,cn,1535223.32
2582,Zhicheng,Zhang,LaNm,cn,1529400.71
28739,Jiaoyang,Zeng,Ori,cn,1527561.42
75863,Magnus,Carlsen,MagnusCarlsen,no,1521051.02
72536,Michał,Kamiński,Kami,pl,1513689.20
60485,Tianlong,Wang,Alan,cn,1508589.45
26666,Lin,Jing,Xxs,cn,1508341.42
2589,Rasmus,Fillipsen,MiSeRy,dk,1505197.74
78466,Anton,Shkredov,dyrachYO,ru,1455949.60
99573,-,-,Kakeru,jp,1455614.85
73128,Valeriy,Vakhovskiy,B1t,ua,1431957.70
31870,Alec,Sanderson,Arcitys,us,1426929.09
1216,Ian,Porter,C6,us,1418092.80
3690,Adrian,Trinks,FATA,de,1410552.48
89896,Tianhao,Liu,YiZ,cn,1407681.64
4030,Chao,Lu,Fenrir,cn,1406042.25
28142,Vladimir,Nikogosyan,RodjER,am,1404636.10
97601,Yang,Fan,Fanfan,cn,1403112.86
69516,Bocheng,Zhu,paraboy,cn,1399954.36
3147,Pan,Zhang,Mu,cn,1390711.71
21640,Melchior,Hillenkamp,Seleri,nl,1382064.91
67334,Jaden,Ashman,Wolfiez,gb,1368308.07
1126,Sung Choo,Cho,Maru,kr,1356351.22
10122,Erik,Engel,tOfu,de,1354831.70
2598,Fa Ming,Liang,DDC,mo,1344720.91
51578,Williams,Aubin,Zayt,ca,1331781.42
80697,Thomas Høxbro,Davidsen,Th0masHD,dk,1330476.44
95063,Yang,Xiang,ZiYang,cn,1325717.83
77958,Zehai,Zeng,Order,cn,1321100.02
35588,Anthony,Cuevas-Castro,Shotzzy,us,1310650.00
44114,Cong,Ding,Dy,cn,1309787.36
1196,Matthew,Piper,FormaL,us,1298932.18
10629,Keith,Markovic,NAF,ca,1298682.06
89891,Heng,Lin,NuanYang,cn,1290681.49
19382,Chun,Song,Sccc,cn,1287091.81
31001,Mathieu,Herbaut,ZywOo,fr,1284234.31
3813,Wang,Jiao,Banana,cn,1283122.84
15511,Anucha,Jirawong,Jabz,th,1280581.39
128773,Jiahao,Chen,ZhongYi,cn,1266318.50
2455,Gabriel,Toledo,FalleN,br,1263415.79
11788,Jonathan,Jablonowski,ELiGE,us,1258096.02
69519,Yin-Jun,Xu,Jimmy,tw,1254709.26
48322,Jung Young,Park,Loki,kr,1245451.79
51948,Nate,Kou,Kreo,hk,1244334.74
30684,Chengjun,Zhang,Paparazi,cn,1242751.39
3801,James,Eubanks,Clayster,us,1233646.68
22135,Kenneth,Williams,Kenny,us,1230728.33
103893,Hidema,Kakinuma,kakip,jp,1228551.54
3163,Jiajun,Liu,Sylar,cn,1226897.63
113264,Chengjun,Xie,CS,cn,1225409.26
80698,Tai,Starčič,TaySon,si,1223513.70
10722,Han,Xu,Moogy,cn,1221917.10
55139,Dave,Jong,Rojo,nl,1215593.33
51883,Rocco,Morales,Saf,us,1210207.02
54188,Helvijs,Saukants,broky,lv,1209432.41
16800,Jakey,Yip,Stewie2k,us,1208508.91
2594,Zhaohui,Wang,SanSheng,cn,1207851.58
68955,Aleksa,Cvetkovic,Queasy,rs,1204712.10
51940,Davis,McClellan,Ceice,us,1202765.47
61896,Thiago,Bautista Lapp,k1nG,ar,1196325.00
49589,Ilya,Zalutskiy,Perfecto,ru,1195570.78
3620,Ryung Woo,Park,Dark,kr,1194415.22
3696,Seth,Abner,Scump,us,1193755.35
3164,Zhengzheng,Yao,Yao,cn,1192164.18
45192,Chon Kien,Chan,Oli,my,1186104.10
134344,Ming,Liu,XuanRan,cn,1180414.42
63706,Dmitry,Sokolov,sh1ro,ru,1161625.59
62311,Iwo,Zając,Setty,pl,1160281.81
36982,Kirill Sergeyevich,Mikhailov,Boombl4,ru,1153941.35
74016,Vitalie,Melnic,Save-,md,1145106.81
20101,Zhibiao,Ye,BoBoKa,cn,1142352.35
88909,Ammar,Al-Assaf,ATF,jo,1141564.71
57309,Danil,Skutin,gpk,ru,1121803.40
8635,Nicholas,Cannella,nitr0,us,1114386.23
2581,Zengrong,Lei,MMY!,cn,1111886.25
74015,Egor,Grigorenko,Nightfall,ru,1111864.00
9839,David,Tan,MoonMeander,ca,1103701.61
102465,Linwei,Sun,TanRan,cn,1098011.24
12183,Epitácio,de Melo,TACO,br,1096161.48
5221,Djardel Jicko,Mampusti,DJ,ph,1091925.12
89897,Yuhao,Li,XingYu,cn,1086350.74
12671,Bin,Fu,Q,cn,1081544.74
12169,Fernando,Alvarenga,fer,br,1078891.52
4070,Byung Ryul,Lee,Rogue,kr,1078863.80
75837,Hikaru,Nakamura,Hikaru,us,1073458.71
12182,Marcelo,David,coldzera,br,1064267.75
17200,Kuku,Palad,Kuku,ph,1063804.10
89310,Yi-en,Lin,King,tw,1062992.63
8168,Egor,Vasilyev,flamie,ru,1041856.83
22136,Dylan,Hannon,Envoy,us,1037729.16
3151,Yee Fung,Chai,Mushi,my,1028588.67
110334,Henry,Leverette,Henry,us,1028375.00
51241,Matthew,Filemon,Whitemon,id,1020261.87
91149,Danila,Yakovenko,Malibuca,ru,1016605.32
5000,Freddy,Johansson,KRiMZ,se,1016061.90
8645,Austin,Liddicoat,Slasher,us,1015583.40
30782,Timothy,Randrup,Tims,ph,1015232.55
80853,Matthew,Faitel,mero,ca,1014450.00
134660,Wang,Yuan-hao,UMA,tw,1005576.20
60390,Ryutaro,Okumoto,feg,jp,1003000.00
77473,-,-,sasamumu,tw,1000000.00
4027,Johan,Åström,pieliedie,se,994746.71
51885,Hayden,Krueger,Elevate,ca,994373.20
3522,Jacky,Mao,EternaLEnVy,ca,992684.79
38097,Preston,Greiner,Priestahh,us,992529.18
17872,Haiyang,Zhou,Yang,cn,992463.55
20234,Bradley,Bergstrom,Frosty,us,991965.00
20727,Nemanja,Kovač,huNter,ba,991400.65
1191,Paul,Duarte,SnakeBite,us,971190.00
114778,Mohamed,Tarek,Mohamed Light,eg,960808.01
6466,Ho Seong,Lee,Duke,kr,959072.51
71503,Remco,Arets,Crystallis,nl,949531.92
1208,Mathew,Fiorante,Royal 2,ca,942052.50
89916,Tao,Yang,NoFear,cn,941698.53
5001,Olof,Kajbjer,olofmeister,se,940855.42
11722,Ilya,Ilyuk,Lil,ua,940510.18
60565,Guixin,Guo,NuoYan,cn,938449.81
4998,Janusz,Pogorzelski,snax,pl,931969.12
3875,Jesper,Wecksell,JW,se,929251.08
66249,Evan,Rogez,M0nkey M00n,fr,927612.32
34362,Wenbo,Yu,JackeyLove,cn,926556.68
3636,Jun Sik,Bae,Bang,kr,915941.68
3836,Jae Wan,Lee,Wolf,kr,913167.87
40009,Philip,Dosen,ImperialHal,us,907471.09
27814,Marc Polo,Luis Fausto,Raven,ph,905759.42
56720,Seung Hoon,Cha,Pio,kr,905337.92
95065,Zhejie,Wu,ZiMo,cn,902977.28
89894,Jinxiang,Wu,QingQing,cn,902161.94
14175,Cuyler,Garland,Huke,us,901785.58
30781,Abed,Yusop,Abed,ph,900796.69
18220,David,Hull,Moo,us,899311.33
3157,Zhilei,Xu,BurNIng,cn,896625.35
75838,Wesley,So,GMWSO,us,895411.64
3878,Robin,Rönnquist,flusha,se,888552.89
66505,James,Giezen,TGLTN,au,888143.25
15103,Sam,Larew,Octane,us,886948.75
12917,Hunter,Winn,hwinn,us,877971.94
1507,Jae Dong,Lee,Jaedong,kr,876398.79
76978,Zack,Jordan,Drazah,us,876025.00
61319,Tristan,Nowicky,Shrimzy,us,875913.44
43755,Jeong-wan,Go,ESTH3R,kr,871858.71
12672,Zheng,Sun,Agressif,cn,871452.21
3290,Nathan,Schmitt,NBK,fr,870287.26
49566,Clément,Danglot,Skite,fr,870019.77
34366,Hao,Wang,N9,cn,867059.42
19133,Tobias,Jønsson,CleanX,dk,862901.87
23173,Bakyt,Emilzhanov,Zayac,kg,861284.52
3881,Richard,Papillon,shox,fr,858303.99
85281,Harry,Pearson,Veno,gb,857928.89
25121,Abay,Khassenov,HObbit,kz,857161.12
3586,Artsiom,Barshak,fng,by,853120.41
40762,Nicolas,Villalba,Nicolas99FC,ar,851431.49
17101,Yuanhao,Li,Xiaohu,cn,850114.07
63544,Jannis,Matwin,JannisZ,de,846713.18
16270,Leonid,Vishnyakov,Chopper,ru,846351.78
45190,Jun Wen,Thiay,JT-,my,844446.32
3693,Damon,Barlow,Karma,ca,842837.25
68143,Nuengnara,Teeramahanon,23savage,th,841580.26
12784,Tue Soon,Chuan,Ah-fu,my,840619.35
9693,Clément,Desplanches,Clem,fr,832707.39
51611,Dmitri,Van de Vrie,Mitr0,nl,830344.81
17877,Jamie,Craven,Insight,gb,830182.26
2574,Danil,Ishutin,Dendi,ua,828082.53
47449,Dmitrii,Dorokhin,DM,ru,827118.14
90009,Tao,Wang,JiuKu,cn,825805.95
12146,Doo-young,Kim,DuBu,kr,823849.65
20813,Aleksi,Virolainen,Aleksib,fi,821741.03
90541,Stanislav,Potorak,Malr1ne,ru,819562.93
28954,Jae Hyuk,Park,Ruler,kr,815773.29
3882,Ladislav,Kovács,GuardiaN,sk,812938.18
99596,Ivan,Moskalenko,Pure,ru,811793.47
3831,Seong Ung,Bae,Bengi,kr,810882.84
4603,Dominique,Mclean,SonicFox,us,809747.54
15015,Riccardo,Romiti,Reynor,it,804459.73
3160,Fan,Bai,rOtK,cn,800232.07
2268,Shin Hyung,Lee,INnoVation,kr,799192.66
72819,Boris,Vorobiev,magixx,ru,797501.66
10630,Tarik,Celik,tarik,us,797339.21
1511,Danylo,Teslenko,Zeus,ua,792585.87
62951,Diego,Lima,Arkhram,us,791861.68
111288,Anders,Vejrgang,Vejrgang,dk,790987.09
1183,Tony,Campbell,Lethul,us,790771.25
67272,Stephane,Lebleu,Shaiiko,fr,788541.49
1072,Jae Ho,Jang,Moon,kr,782559.43
10925,Yong In,Jo,CoreJJ,kr,782465.36
61243,Benjy David,Fish,BenjyFishy,gb,782337.52
97155,Bozhidar,Bozhilov,bzm,bg,781289.30
30665,Zhiyi,Jin,flyfly,cn,780184.65
70620,Tao,Jiang,Adou,cn,780182.01
48798,Lotan,Giladi,Spinx,il,772518.33
70149,Ilya,Osipov,m0NESY,ru,772217.61
15792,Wang Ho,Han,Peanut,kr,771351.93
1490,Patrik,Lindberg,f0rest,se,763991.04
1485,Filip,Kubski,neo,pl,762311.73
15924,Matthew,Tinsley,Kismet,us,761958.33
36619,Brandon,Otell,Dashy,ca,760147.99
35077,Dzhami,Ali,Jame,ru,760051.06
76888,Umut,Gültekin,Umut,de,756907.63
62624,Moussa,Faour,Chapix,se,755193.13
1484,Wiktor,Wojtas,TaZ,pl,748924.02
70611,Cong,Zhang,WuMing,cn,748209.82
3289,Kenny,Schrub,kennyS,fr,746091.36
13964,Benjamin,Bance,Bance,gb,745429.94
89953,Jiapeng,Lu,Peng,cn,743932.92
89955,Zhou,Du,Qfeng,cn,741420.61
3167,Hock Chuan,Wong,ChuaN,my,741416.26
80699,Henrik,Mclean,Hen,gb,741165.84
90013,Junlan,Peng,Mlan,cn,737307.43
82926,Paco,Rusiewiez,HyDra,fr,736550.69
95067,Xiangyu,Xu,JinYu,cn,735796.59
103943,Jiajun,Xu,qc,cn,734838.74
77959,Shujie,Feng,Suk,cn,731279.15
64440,Cesar,Bueno,Skyz,us,730775.00
62314,Theo,Ferrer,Crue,se,728500.00
2224,Tae Yang,Jun,TY,kr,727444.42
38673,Mossad,Aldossary,MSdossary7,sa,724097.02
4738,Arif,Anwar,MSS,us,723577.98
55842,Adrián,Dobles,Wisper,bo,721947.87
89956,Qingyou,Fang,Byshow,cn,721929.21
1510,Ioann,Sukharev,Edward,ua,721868.24
49426,Yi,Zhou,Emo,cn,721235.90
50421,Kyle,Jackson,Mongraal,gb,720629.23
43114,Rasmus,Beck,sjuush,dk,720563.09
89842,Yinan,Chen,MMing,cn,720366.12
44128,Jiahan,Xiong,pyw,cn,717764.82
3702,Jordan,Kaplan,JKap,us,714188.81
51619,Aydan,Conrad,Aydan,us,711936.69
12466,Rasmus,Borregaard Winther,Caps,dk,709619.84
42936,Scofield leches,Gomez,Scofield,pe,707423.07
10718,Xinzhou,Liu,garder,cn,705536.20
3141,Jonathan,Berg,Loda,se,705204.72
69507,Hee Joo,Na,Inonix,kr,703435.17
38125,Turner,Tenney,Tfue,us,702825.01
10485,Justin,Savage,jks,au,702351.43
80851,Matvey,Vasyunin,MieRo,ru,702151.60
47792,Shahar,Shushan,flameZ,il,701568.06
1505,Young Ho,Lee,Flash,kr,700820.76
96385,Danil,Kryshkovets,donk,ru,697619.60
52108,Indervir,Dhaliwal,iLLeY,ca,696553.33
24832,David,Čerňanský,frozen,sk,694231.99
29711,Ethan,Arnold,Ethan,us,693647.05
20235,Kevin,Smith,Eco,us,693275.00
11868,Zezhi,Chen,Xz,cn,692327.42
71444,Abdullah,Akhras,Acorn,ca,691577.39
4674,Sung Wook,Joo,Zest,kr,690082.59
70222,Rhye,Perry,Zer0,au,688927.23
89954,Tingpu,Yang,GAI,cn,688016.28
2762,Eon Yeong,Jung,Impact,kr,686649.73
36550,Armel Paul,Tabios,Armel,ph,684905.69
115052,Qinglong,Zeng,QiaoXi,cn,684334.96
49036,Sergey,Rykhtorov,Ax1Le,ru,683899.76
30686,Yi,Pan,Fade,cn,680524.49
26896,Braedon,Boettcher,StelluR,us,678675.00
69523,Run,Ma,Beizhai,cn,678414.22
3724,Jerry,Lundqvist,EGM,se,677630.08
89892,Kuan,Zhou,QianShi,cn,677281.37
10244,Pengfei,Zheng,Even,cn,676528.10
14768,Ivan,Kapustin,ubah,ru,676467.77
55162,Jonáš,Volek,SabeRLight-,cz,676227.57
5034,Casper,Møller,cadiaN,dk,675748.01
89899,Jiajie,Tang,XiaoYing,cn,673819.31
46805,Donovan,Hunt,TekKz,gb,672494.80
91155,Andrej,Piratov,merstachhh,lv,671181.79
48581,Vladislav,Gorshkov,nafany,ru,669061.73
95073,Yutao,Wu,HuaJuan,cn,668908.67
1042,Joon,Park,Lyn,kr,668434.36
2272,Yoo Jin,Kim,sOs,kr,665449.84
52436,Jordan,Wolfe,Reps,us,665059.65
51936,Timothy,Miller,Bizzle,us,664776.39
6013,Eui Jin,Song,Rookie,kr,664528.80
68957,Nikola,Krudulj,TruleX,rs,664267.00
2576,Oleksandr,Dashkevych,XBOCT,ua,663158.09
3042,Joon Ho,Kim,herO,kr,660347.49
46952,Loïc,Chongthep,BriD,fr,660125.67
91075,Peter,Kata,PeterBot,us,658724.17
104475,Ye,Zhang,Zy,cn,657282.25
41398,René,Madsen,TeSeS,dk,656390.92
50164,Matt,Smith,Kickstart,us,655509.19
12663,Ye,Tian,Meiko,cn,653537.31
15754,Jiwei,Huang,Shiki,cn,653514.33
23188,Tommy,Le,Taiga,no,651478.86
50319,Min Ki,Park,Viol2t,kr,651349.29
3140,Joakim,Akterhall,Akke,se,648738.70
39166,Seung Lok,Kang,TheShy,kr,647773.33
16031,Tsunehiro,Kanamori,Gachikun,jp,646084.53
3481,Yoon Su,Eu,soO,kr,645423.06
69520,Haoming,Chen,Ming,cn,645125.12
49530,Massimo,Franceschi,Atomic,us,642852.05
49387,Hector Antonio,Rodriguez,K1,pe,642841.68
34750,Qian,Zhang,ZQ,cn,642838.77
33679,Martin,Lund,stavn,dk,641787.63
73319,Austin,Scherff,M1ME,us,641320.19
88011,Nanjiang,Li,Nannnnn,cn,641141.60
4311,Will,Wierzba,Rush,us,640176.87
62655,Leon,Khim,Khanada,us,640124.67
3799,Thomas,Trewren,Tommey,gb,640049.28
3523,Henrik,Ahnberg,AdmiralBulldog,se,638187.73
2236,Dae Yeob,Kim,Stats,kr,637665.08
57463,Klaus,Konstanzer,stompy,at,634421.94
1017,Hyun Woo,Byun,ByuN,kr,634266.17
117421,Cooper,Smith,Cooper,us,634205.00
43849,Tae Min,Kang,Taemin,kr,632268.84
95062,Keqin,Wang,XingHen,cn,631460.45
19967,Yawar,Hassan,YawaR,pk,630136.60
3657,Min Soo,Kang,Solar,kr,629945.00
10736,Markus,Kjærbye,Kjaerbye,dk,627146.93
1492,Christopher,Alesund,GeT_RiGhT,se,626721.76
83818,Alexander,Schlik,Vadeal,de,625695.30
95064,Kang,Ye,BuRan,cn,625517.83
71468,Pinyan,Zhou,ZpYan1,cn,625229.63
1488,Jarosław,Jarząbkowski,pashaBiceps,pl,625065.15
102847,Ziwei,Li,Yisheng,cn,624112.52
31871,Preston,Sanderson,Prestinni,us,622473.43
92743,Myroslav,Plakhotia,zont1x,ua,620263.47
34363,Liuyi,Wang,Baolan,cn,619658.35
61776,Ben,Peterson,Edgey,us,616688.15
4885,Yong Min,Kim,Febby,kr,616244.35
39608,Aleksei,Golubev,Qikert,kz,616016.63
104494,Jiawei,Yang,Jwei,cn,615697.77
1705,Hajime,Taniguchi,Tokido,jp,613805.68
12812,Dillon,Price,Attach,us,612273.35
52441,Jean Pierre,Gonzales,Chris Luck,pe,611364.54
76886,Paulo,Henrique Chaves,PHzin,br,610235.02
109867,-,-,Mugi,jp,608918.88
3951,Christiaan,de Jong,chrisJ,nl,608724.32
128772,Xiaojun,Shuang,GuiQi,cn,607392.87
89890,Tengfei,Ma,ShenRen,cn,606346.53
5290,Bryan,Zhelyazkov,Apathy,us,605618.93
13134,İsmailсan,Dörtkardeş,XANTARES,tr,605060.93
37663,Ludvig,Brolin,Brollan,se,605025.84
10074,Yongzheng,He,Inflame,cn,601854.15
37699,Ding,Zhuo,Knight,cn,599936.39
2597,Feichi,Luo,Ferrari_430,cn,597877.06
102883,Longhui,Jiang,FengJie,cn,597404.53
28734,Zhenning,Gao,Ning,cn,596966.58
4883,Noah,Pyo,MP,kr,592676.77
99306,Yanwen,Wang,HS,cn,592619.22
17616,Steven,Vargas,StingeR,pe,592510.78
81612,Landon,Konerman,BeastMode,us,591624.35
4888,Sunyeob,Kim,QO,kr,591322.79
104813,Joshua,Butler,Cold,us,590175.00
3818,Alex,Sunderhaft,Neeb,us,589720.96
91606,Enzo,Grondein,Seikoo,fr,589530.18
56731,Jiahao,Bai,369,cn,588115.40
3641,Chong Xin,Khoo,Ohaiyo,my,586016.52
8924,Luka,Perković,PerkZ,hr,585736.60
53843,Yanis,Champenois,Alpha54,fr,585503.21
32223,Jacob,Knapman,JKnaps,ca,585413.45
40347,Reed,Wilen,Chicago,us,584540.38
53086,Cameron,McKilligan,Cammy,gb,584150.00
4997,Paweł,Bieliński,byali,pl,583489.51
2271,Doh Woo,Kim,Classic,kr,582687.26
145864,Jiajun,Meng,DaShuai,cn,582651.76
28735,Senming,Shi,Ming,cn,582384.84
60418,Shengqqin,Xia,Hurt,cn,581507.86
7517,Thijs,Molendijk,Thijs,nl,579189.66
49361,Rafli Fathur,Rahman,Mikoto,id,577522.71
11154,Hau-Hsuan,Hung,Karsa,tw,575459.59
30865,Will,Merriman,mezii,gb,575135.95
51534,Jae Won,Lee,LIP,kr,573689.79
40261,Nam Joo,Kwon,Striker,kr,571305.19
54498,Worawit,Mekchai,Q,th,567507.34
13394,Zhiyong,Wang,old chicken,cn,567040.77
57481,Amer,Zulbeari,Pred,au,566830.00
57614,Daniel,Walsh,Dubs,us,566279.99
89909,Yitao,Zhou,QianC,cn,563959.13
3293,Cédric,Guipouy,RpK,fr,562227.09
56863,Nathan,Berquignol,Nayte,fr,560308.75
9830,Linus,Blomdin,Limmp,se,559619.65
18904,Sun Gu,Kang,Blank,kr,559518.75
33340,Jonathan,Willette,Renegade,us,558875.00
89081,Yan,Nolasco,yanxnz,br,556595.75
3710,Johnathan,Perez,John,us,555499.59
4038,Zihao,Jian,Uzi,cn,553869.60
2749,Chan Yong,Kang,Ambition,kr,553454.41
40798,Timofey,Yakushin,interz,ru,553226.34
89908,Xinzhen,Xu,JiuWei,cn,551072.59
51379,Aleksandr,Batulin,BatulinS,ru,550577.43
31966,Kim,Villafuerte Santos,Gabbi,ph,550385.15
2440,Richard,Landström,Xizt,se,549513.99
3830,Se Hyeong,Cho,Mata,kr,549295.45
41926,Saul Leonardo,Mena Segundo,MenaRD,do,548812.57
76230,Min Seok,Ryu,Keria,kr,546893.12
15807,Boon Seng,Kam,Moon,my,546264.32
27359,Garrett,Gordon,GarrettG,us,546071.69
99980,Evan,Verhulst,Verhulst,us,544299.99
60239,Hongcheng,Guo,Xm,cn,543873.58
46828,Myeong Hwan,Yoo,smurf,kr,541784.30
1203,Eric,Wrona,Snip3down,us,541601.84
4893,Sang-don,Lee,Forev,kr,541537.11
110315,Manuel,Bachoore,ManuBachoore,nl,541194.35
11483,Peter,Jarguz,stanislaw,ca,538420.72
65775,Soo-hoon,Lim,Ulsan,kr,538341.48
1589,Taek Yong,Kim,Bisu,kr,537913.56
1000,Min Chul,Jang,MC,kr,537732.41
34191,Alexandre,Courant,Kaydop,fr,536502.69
18811,Kristian,Wienecke,k0nfig,dk,536247.85
12230,Simon,Haag,Handsken,se,535999.60
14182,Rhys,Price,Rated,gb,535931.89
61171,Martin,Foss,MrSavage,no,534730.90
3843,Hyuk Kyu,Kim,Deft,kr,533702.27
80422,Noyan,Ozkose,Genburten,au,533431.79
104665,-,-,Chico,ba,532651.14
67979,Kirill,Lukyanov,Lu,ru,528456.18
90462,Tao,Li,Aze,cn,528374.39
14874,Lamar,Abedi,Accuracy,us,528328.00
33471,Victor,Woodley,Punk,us,527996.61
55316,Chuan,Yu,Summer,cn,527411.90
62105,Cody,Conrod,Clix,us,526675.29
60414,Zhishun,Cao,JiuCheng,cn,524628.69
81271,Lennard,Sill,rezon ay,de,524185.90
35884,Troy,Jaroslawski,Canadian,ca,523861.90
1179,Ian,Wyatt,Enable,us,522597.12
49531,Jason,Corral,Firstkiller,us,522192.05
27839,Zane,Hearon,Deadzone,us,520400.00
48945,Evgeniy,Lebedev,FL1T,ru,520069.39
45708,Bryan,Tebessi,Elemzje,fr,519392.44
4584,Marcin,Jankowski,Jankos,pl,519257.63
83029,Daniel,Piecenski,Daniel,us,518186.71
24979,Ye Chan,Lee,Scout,kr,517926.83
19595,Özgür,Eker,woxic,tr,517274.45
63746,Brendan,Falconer,Falconer,us,516750.00
3386,Kai,Ming,ClearLove,cn,516407.61
52321,Anthony,Colandro,ZexRow,us,516084.73
89893,Runzhi,Chen,ShiJiu,cn,515841.57
9657,Yueqiang,Dai,18,cn,515649.74
88735,Finlay,Ferguson,rise.,gb,515166.54
3952,Johannes,Wodarz,tabseN,de,514122.98
